Instance,Jobs,Tools,Magazine,Solution,ExecutionTime(s)
SAIDA_1_instancia_10x10_C21_4.csv,10,10,21,0,12704
SAIDA_2_instancia_10x10_C21_4.csv,10,10,21,0,13222
SAIDA_3_instancia_10x10_C21_4.csv,10,10,21,0,15266
SAIDA_4_instancia_10x10_C21_4.csv,10,10,21,0,13567
SAIDA_5_instancia_10x10_C21_4.csv,10,10,21,0,19444
SAIDA_6_instancia_10x10_C21_4.csv,10,10,21,0,12729
SAIDA_7_instancia_10x10_C21_4.csv,10,10,21,0,13010
SAIDA_8_instancia_10x10_C21_4.csv,10,10,21,0,12600
SAIDA_9_instancia_10x10_C21_4.csv,10,10,21,0,16278
SAIDA_10_instancia_10x10_C21_4.csv,10,10,21,0,13783
